#{"t_start": 1682777104.0129035, "env_id": "None"}
r,l,t
-28.0,100,0.081002
-25.5,100,0.118991
-24.5,100,0.142992
-21.0,100,0.165992
-25.5,100,0.190032
-19.0,100,0.212028
-32.5,100,0.234033
-27.5,100,0.255027
-28.0,100,0.276028
-28.5,100,0.300989
-23.5,100,0.34405
-14.5,100,0.372028
-23.5,100,0.39503
-28.0,100,0.416988
-25.0,100,0.443032
-29.0,100,0.46603
-19.5,100,0.488031
-29.5,100,0.509027
-24.0,100,0.530031
-18.5,100,0.551993
-26.0,100,0.589993
-25.0,100,0.620027
-23.5,100,0.659994
-23.5,100,0.698996
-22.5,100,0.730989
-29.0,100,0.753989
-25.5,100,0.778988
-20.5,100,0.809347
-20.0,100,0.832342
-25.5,100,0.854344
-18.0,100,0.888089
-28.0,100,0.917052
-23.5,100,0.939094
-25.5,100,0.961053
-20.5,100,0.985051
-22.5,100,1.009058
-21.5,100,1.033052
-23.0,100,1.054052
-24.0,100,1.075055
-21.5,100,1.096052
-24.5,100,1.135051
-31.5,100,1.161054
-16.0,100,1.183051
-16.0,100,1.204051
-25.0,100,1.262054
-19.5,100,1.314055
-26.0,100,1.343056
-19.0,100,1.376053
-27.5,100,1.401051
-20.5,100,1.426053
-32.0,100,1.464059
-18.0,100,1.492068
-27.5,100,1.520091
-20.0,100,1.545092
-22.5,100,1.573056
-22.0,100,1.604055
-21.5,100,1.631055
-21.5,100,1.654051
-21.5,100,1.680055
-22.5,100,1.704055
-21.5,100,1.737911
-17.0,100,1.768952
-24.5,100,1.794946
-27.0,100,1.817914
-32.5,100,1.84591
-24.5,100,1.869913
-27.5,100,1.894945
-30.5,100,1.918947
-18.0,100,1.948907
-21.5,100,1.979911
-25.0,100,2.030909
-24.0,100,2.060907
-24.5,100,2.094918
-27.0,100,2.135913
-17.5,100,2.166907
-21.5,100,2.196908
-23.5,100,2.227911
-22.0,100,2.258909
-23.0,100,2.286907
-25.5,100,2.31491
-17.0,100,2.361915
-24.5,100,2.387908
-24.5,100,2.413906
-21.0,100,2.437907
-20.0,100,2.463911
-22.0,100,2.486911
-17.0,100,2.515911
-22.5,100,2.538908
-23.0,100,2.563949
-15.0,100,2.585911
-17.5,100,2.62191
-19.5,100,2.651948
-25.5,100,2.673947
-25.0,100,2.694945
-22.5,100,2.716911
-29.0,100,2.740948
-19.0,100,2.763908
-22.5,100,2.784908
-25.0,100,2.806908
-24.5,100,2.827945
